,Raw,req-label,req,chunk-count,chunks-in-req,keyword-count,keywords-in-req
10,"F:The system shall display the Events in a graph by time.
",F,The system shall display the Events in a graph by time.,2,"system, graph by time",6,"graph, time, system, shall, event, display"
11,"L:All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.
",L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,5,"business, system, be in compliance, of regulation e, regulation z",11,"e, dispute, compliance, guideline, system, specify, z, shall, business, regulation, rule"
12,"L:The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.
",L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,8,"application, history, action, user, dispute case, audit trail, later on with regard, dispute case",20,"action, every, audit, ensure, arise, detailed, must, take, maintain, regard, case, trail, application, particular, question, dispute, history, complete, user, later"
13,"L:All actions that modify an existing dispute case must be recorded in the case history.
",L,All actions that modify an existing dispute case must be recorded in the case history.,2,"existing dispute case, case history",8,"modify, record, dispute, action, must, exist, history, case"
14,"F:The Disputes System must be accessible by both internal and external users.
",F,The Disputes System must be accessible by both internal and external users.,1,system,7,"accessible, dispute, must, system, external, user, internal"
15,"F:The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.
",F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,3,"system, dispute, cardholder base",10,"base, dispute, must, cardholder, system, belong, user, prevent, access, case"
16,"F:The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.
",F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,5,"system, entry, dispute case, interface, time",14,"support, real, direct, dispute, interface, data, response, entry, facilitate, time, system, via, user, case"
17,"F:The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.
",F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,4,"system, of access, with regard, case initiation",12,"provide, regard, dispute, action, must, follow-up, system, initiation, different, level, access, case"
18,"F:The Disputes System shall provide view access capability for authorized users of the application.
",F,The Disputes System shall provide view access capability for authorized users of the application.,3,"system, provide view access capability, application",10,"provide, application, dispute, view, system, authorized, capability, shall, user, access"
19,"F:The Disputes System shall provide update access capability for authorized users of the application.
",F,The Disputes System shall provide update access capability for authorized users of the application.,3,"system, access capability, application",10,"provide, application, dispute, system, authorized, capability, shall, user, update, access"
20,"F:The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.
",F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,8,"system, age, transaction, interface, dispute, ticket retrieval request, chargeback notification, selected transaction",17,"disputable, retrieval, select, base, dispute, interface, ticket, must, chargeback, allow, system, age, initiate, notification, user, transaction, request"
21,"F:The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.
",F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,5,"system, user, ability, dispute case, merchant",13,"provide, single, merchant, dispute, multiple, must, system, initiate, belong, user, transaction, ability, case"
22,"F:The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.
",F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,15,"system, user, ability, ticket retrieval request, as part, of ticket, creation process, system, user, information, ticket retrieval request, ticket retrieval request, document, validity, transaction",24,"document, information, system, request, retrieval, transaction, must, enter, send, initiate, ability, process, inquire, creation, prompt, provide, required, merchant, dispute, ticket, validity, user, part, create"
23,"F:The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.
",F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,19,"system, user, of ticket retrieval, of ticket retrieval, request, receipt, request, copy, receipt, request, portfolio, portfolio, consists of documentation, provide proof, purchase, documentation, car, agency, receipt",30,"documentation, receive, rental, type, consist, agency, system, 1, unique, request, retrieval, 2, three, must, would, allow, sale, original, car, copy, purchase, provide, dispute, ticket, receipt, 3, portfolio, proof, user, create"
24,"F:The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.
",F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,1,system,11,"restrict, original, dispute, receipt, must, system, external, user, prevent, request, internal"
25,"F: The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.
",F, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,11,"system, confirmation, user, creation of ticket retrieval request, information, dispute case number, type of retrieval, original, portfolio, date, merchant response",24,"type, information, system, request, number, retrieval, must, due, confirmation, following, contain, case, original, response, copy, creation, provide, merchant, dispute, ticket, date, portfolio, user, upon"
26,"F:The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.
",F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,12,"system, user, chargeback request, system, user, information, chargeback request, chargeback request, chargeback notification, account, proof, transaction",28,"account, result, information, system, shall, request, printed, must, allow, enter, send, initiate, chargeback, charge, indicate, notification, back, prompt, provide, required, merchant, valid, dispute, proof, disputed, user, transaction, create"
27,"F: The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.
",F, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,11,"system, confirmation, user, creation, chargeback request, confirmation, information, dispute case number, type of chargeback, date, merchant response",22,"type, immediate, information, system, pending, request, number, must, due, confirmation, following, chargeback, contain, case, response, creation, provide, merchant, dispute, date, user, upon"
28,"F:The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.
",F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,5,"system, creation, dispute, requests 100 %, time",9,"100, dispute, time, system, shall, creation, prevent, duplicate, request"
29,"F: The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.
",F, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,11,"system, list, reason, given transaction, list, reason, type of transaction, industry, merchant, business, system",22,"type, accurately, system, shall, give, base, must, code, define, belong, reason, rule, provide, list, merchant, industry, dispute, derive, possible, business, accord, transaction"
30,"F:The Disputes System must provide the ability to view existing dispute cases.
",F,The Disputes System must provide the ability to view existing dispute cases.,3,"system, ability, view existing dispute",8,"provide, dispute, must, view, system, exist, ability, case"
31,"F: The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.
",F, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,18,"system, provide search functionality, search method, ability, dispute case number, merchant account number, cardmember account number, issuer number, in addition, search functionality, user, search, date range, type of dispute, ticket retrieval request, chargeback notification, case status, dispute reason code",39,"cardmember, account, result, type, close, criterion, limit, system, 1, method, request, number, 2, retrieval, far, search, functionality, must, 4, allow, range, code, chargeback, ability, case, open, addition, issuer, notification, include, status, reason, provide, merchant, dispute, date, ticket, 3, user"
32,"F:A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.
",F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,9,"list, entered search, user, list, type and/or status, case by color, line item, list, for example",23,"differentiate, meet, example, type, criterion, line, yellow, search, closed, must, enter, case, open, and/or, item, color, -coding, status, provide, list, dispute, gray, user"
33,"F:The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.
",F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,4,"system, ability, history, dispute case",11,"provide, occur, dispute, view, system, history, shall, user, activity, ability, case"
34,"F:The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.
",F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,9,"dispute system, ability, dispute case, list, given dispute case, status, case, access level, user",19,"action, system, shall, filter, via, give, must, follow-up, level, access, ability, case, available, status, provide, list, dispute, follow, user"
35,"F: The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.
",F, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,12,"system, name, user, date, activity, case, system, history, case, date, user, action",21,"purpose, action, audit, system, shall, perform, modify, record, detailed, take, must, maintain, case, name, include, dispute, date, history, user, activity, create"
36,"F: For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.
",F, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,9,"action, case, aging process, case activity, logon, user, dispute case, action, dispute case",17,"non-user, notify, process, systematic, upon, dispute, action, next, must, logon, age, generate, user, initiate, activity, occur, case"
37,"F:All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.
",F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,2,"letter, print letter utility system",10,"utility, format, must, letter, guideline, print, specify, system, accord, request"
38,"F:Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.
",F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,2,"online, disputes database",9,"online, dispute, month, database, must, close, purge, 6, case"
39,"O:The product must support Internet Explorer 5.5 and above.
",O,The product must support Internet Explorer 5.5 and above.,2,"product, support internet explorer",6,"internet, product, support, 5.5, explorer, must"
40,"O:The product must support Mozilla Firefox 1.0 and above.
",O,The product must support Mozilla Firefox 1.0 and above.,2,"product, support mozilla firefox",6,"support, product, 1.0, firefox, must, mozilla"
41,"O:The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.
",O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,4,"product, choice, system, feed",10,"provide, product, feed, interface, choice, data, system, shall, recycled, part"
42,"O:The product shall run on the existing hardware for all environments.
",O,The product shall run on the existing hardware for all environments.,2,"product, existing hardware",6,"product, run, exist, hardware, shall, environment"
43,"O:The product shall adhere to the corporate Architecture guidelines
",O,The product shall adhere to the corporate Architecture guidelines,2,"product, architecture",6,"adhere, product, architecture, corporate, guideline, shall"
44,"LF:The product shall comply with corporate User Interface Guidelines
",LF,The product shall comply with corporate User Interface Guidelines,2,"product, interface",7,"product, corporate, interface, guideline, shall, user, comply"
45,"LF:The product shall comply with corporate color scheme
",LF,The product shall comply with corporate color scheme,2,"product, color scheme",6,"product, scheme, corporate, shall, color, comply"
46,"LF:The appearance of the product shall appear professional
",LF,The appearance of the product shall appear professional,2,"appearance, product",5,"product, professional, appear, shall, appearance"
47,"US:The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.
",US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,5,"product, collision, 95 %, collision, product easy",9,"product, collision, 95, shall, use, easy, estimator, find, adjuster"
48,"US:The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
",US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,8,"product, increase productivity of collision, 80 %, collision, productivity, has increase, 1 month, product",12,"product, collision, month, increase, productivity, shall, estimator, agree, 1, use, within, 80"
49,"US:Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.
",US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,3,"product, 85 %, product",8,"product, feel, satisfy, shall, use, user, 85, satisfied"
50,"US:The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training
",US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,3,"product, collision, product",11,"onsite, product, learn, collision, day, train, shall, easy, estimator, two, adjuster"
51,"US:The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.
",US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,5,"user, product, help, 90 %, system",12,"product, 90, help, system, locate, shall, instruction, use, find, user, within, easily"
52,"PE:The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.
",PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,2,"search, search",10,"15, search, second, result, return, take, recycled, shall, long, part"
53,"PE:The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds
",PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,3,"search, repair facility, repair facility",11,"repair, second, search, return, facility, take, preferred, 8, shall, long, within"
54,"PE:The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.
",PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,3,"audit report, user, audit report",10,"10, second, return, audit, report, recycled, shall, user, within, part"
55,"PE:The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.
",PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,1,repair facility,10,"repair, rating, save, second, facility, preferred, shall, 5, within, occur"
56,"A:The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.
",A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,5,"product, availability schedule, application, 98 %, availability schedule",14,"online, adhere, product, application, scheduled, corporate, 98, per, schedule, shall, availability, within, bring, outage"
57,"A:The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.
",A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,5,"product, 98 % uptime, product, 2 %, time",10,"online, 2, product, uptime, 98, time, achieve, shall, available, fail"
58,"SC:The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.
",SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,3,"product, system, time",10,"able, perform, product, simultaneous, time, system, shall, user, handle, 1500"
59,"SC: The average number of recycled parts records per day shall be 50 000.
",SC, The average number of recycled parts records per day shall be 50 000.,2,"number, per day",10,"average, 000, record, day, 50, per, recycled, shall, part, number"
60,"SC: The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
",SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,3,"product, 000 concurrent, launch",13,"able, within, product, 000, 2, initial, launch, year, concurrent, shall, user, handle, 10"
61,"O: For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.
",O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,3,"product, repair facility, during dirty",10,"able, dirty, product, repair, facility, operate, estimator, shall, noisy, condition"
62,"O:The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.
",O,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,3,"product, system, once per day",9,"product, approximately, day, interface, 1:00, per, system, choiceparts, shall"
63,"O:The maintenance of the product will fall within the established corporate maintenance windows.
",O,The maintenance of the product will fall within the established corporate maintenance windows.,3,"maintenance, product, maintenance",7,"product, window, corporate, establish, fall, maintenance, within"
64,"O:The product shall be supported using the corporate support center.
",O,The product shall be supported using the corporate support center.,2,"product, support center",6,"support, product, center, corporate, shall, use"
65,"O:Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
",O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,3,"product, middleware technology team, time",13,"upgrade, launch, product, middleware, frame, establish, time, installation, shall, team, handle, within, technology"
66,"SE:Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.
",SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,2,"audit, adjuster role",11,"recycle, without, audit, role, report, shall, recycled, user, part, request, adjuster"
67,"SE:Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.
",SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,5,"role, repair facility, supervisor role, not access, repair facility",11,"repair, rating, without, facility, supervisor, preferred, role, user, update, access, adjuster"
68,"SE:Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.
",SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,4,"only collision, collision estimator role, not have access, search",10,"collision, part, search, without, role, estimator, shall, user, recycled, access"
69,"SE:Only valid data shall be entered into the system.  No invalid data shall be entered into the system.
",SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,2,"system, system",6,"valid, invalid, data, enter, system, shall"
70,"SE:One insurance company shall not be able to view another insurance companys claim data.
",SE,One insurance company shall not be able to view another insurance companys claim data.,2,"one insurance company, insurance companys claim",9,"able, company, another, data, view, one, shall, insurance, claim"
71,"SE:The product shall free of computer viruses.
",SE,The product shall free of computer viruses.,2,"product, free of computer",5,"product, computer, free, shall, virus"
72,"SE:The system shall prevent malicious attacks including denial of service.
",SE,The system shall prevent malicious attacks including denial of service.,2,"system, including denial of service",8,"attack, system, include, shall, service, denial, prevent, malicious"
73,"L:The product must comply with Sarbanes-Oxley.
",L,The product must comply with Sarbanes-Oxley.,2,"product, comply with sarbanes-oxley",4,"product, must, sarbanes-oxley, comply"
74,"L:The product shall comply with the estimatics laws relating to recycled parts usage.
",L,The product shall comply with the estimatics laws relating to recycled parts usage.,2,"product, usage",9,"estimatics, law, product, recycle, part, usage, shall, comply, relate"
75,"L:The product shall comply with insurance regulations regarding claims processing.
",L,The product shall comply with insurance regulations regarding claims processing.,3,"product, comply with insurance, processing",8,"product, processing, claim, shall, insurance, regulation, comply, regard"
76,"F: The user shall search for the preferred repair facility using vehicle data vehicle location  and radius in miles
",F, The user shall search for the preferred repair facility using vehicle data vehicle location  and radius in miles,5,"user, repair facility, using vehicle, vehicle location, radius",12,"repair, search, vehicle, facility, data, preferred, mile, shall, use, user, location, radius"
77,"F: The vehicle data shall include vehicle year  make  and model
",F, The vehicle data shall include vehicle year  make  and model,3,"vehicle, include vehicle year make, model",7,"model, year, vehicle, data, make, include, shall"
78,"F: The vehicle location shall include street address  city  state  and zipcode
",F, The vehicle location shall include street address  city  state  and zipcode,4,"vehicle location, include street, city state, zipcode",9,"street, vehicle, state, city, include, shall, zipcode, location, address"
79,"F: The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.
",F, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,5,"system, zipcode, street, city, state if zipcode",9,"street, state, resolve, system, city, unknown, shall, zipcode, address"
80,"F:The search radius shall be between 1 and 30 miles
",F,The search radius shall be between 1 and 30 miles,1,search,6,"search, mile, shall, 1, radius, 30"
81,"F:The system shall locate the preferred repair facility with the highest ratings for the input criteria
",F,The system shall locate the preferred repair facility with the highest ratings for the input criteria,3,"system, repair facility, input",10,"input, repair, rating, facility, preferred, criterion, system, locate, shall, high"
82,"F:The adjuster shall enter the preferred repair facility on the estimate assignment.
",F,The adjuster shall enter the preferred repair facility on the estimate assignment.,3,"adjuster, repair facility, estimate assignment",8,"assignment, repair, facility, estimate, preferred, enter, shall, adjuster"
83,"F:The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.
",F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,3,"adjuster, repair facitlity, estimate assignment",9,"able, override, assignment, repair, facitlity, preferred, estimate, shall, adjuster"
84,"F:The preferred repair facility shall be returned to the user.
",F,The preferred repair facility shall be returned to the user.,2,"repair facility, user",6,"repair, return, facility, preferred, shall, user"
85,"F:The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.
",F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,4,"system, list of repair, radius, repair facility",10,"list, repair, return, facility, preferred, system, shall, determine, within, radius"
86,"F:The estimator shall search for available recycled parts using damaged vehicle parts information.
",F,The estimator shall search for available recycled parts using damaged vehicle parts information.,3,"estimator, using damaged vehicle, information",10,"part, search, vehicle, information, damage, available, estimator, shall, use, recycled"
87,"F:The estimator shall search for available recycled parts using a list of preferred parts suppliers.
",F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,2,"estimator, list",10,"list, part, search, preferred, available, estimator, shall, use, supplier, recycled"
88,"F:The system shall search for available recycled parts for the supplied vehicle parts and suppliers.
",F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,2,"system, vehicle",9,"supplied, part, search, vehicle, system, available, shall, supplier, recycled"
89,"F:The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers
",F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,3,"estimator, search by zipcode, radius",11,"search, mile, preferred, estimator, shall, find, supplier, zipcode, part, radius, 30"
90,"F:The system shall retain the available recycled parts and suppliers returned from the search.
",F,The system shall retain the available recycled parts and suppliers returned from the search.,2,"system, search",9,"retain, part, search, return, system, available, shall, supplier, recycled"
91,"F:The available recycled parts information and their suppliers shall be returned to the user.
",F,The available recycled parts information and their suppliers shall be returned to the user.,2,"information, user",8,"return, information, recycled, available, supplier, shall, user, part"
92,"F:The estimator shall apply selected recycled parts to the collision estimate.
",F,The estimator shall apply selected recycled parts to the collision estimate.,2,"estimator, collision estimate",8,"select, collision, part, estimate, apply, estimator, shall, recycled"
93,"F:The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.
",F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,2,"estimator, collision estimate",9,"collision, part, return, estimate, apply, estimator, shall, available, recycled"
94,"F:The adjuster shall review the collision estimate.
",F,The adjuster shall review the collision estimate.,2,"adjuster, collision estimate",5,"collision, review, estimate, shall, adjuster"
95,"F:The adjuster shall request a recycled parts audit of the collision estimate.
",F,The adjuster shall request a recycled parts audit of the collision estimate.,3,"adjuster, audit, collision estimate",8,"collision, part, audit, estimate, shall, recycled, request, adjuster"
96,"F:The recycled parts search results provided to the estimator shall be retrieved by the system.
",F,The recycled parts search results provided to the estimator shall be retrieved by the system.,3,"search, estimator, system",9,"provide, search, result, retrieve, system, recycled, estimator, shall, part"
97,"F:The system shall generate an audit report based on the available recycled parts and the collision estimate.
",F,The system shall generate an audit report based on the available recycled parts and the collision estimate.,3,"system, audit report, collision estimate",11,"collision, base, part, audit, estimate, system, generate, shall, report, available, recycled"
98,"F:The audit report shall include the total number of recycled parts used in the estimate.
",F,The audit report shall include the total number of recycled parts used in the estimate.,3,"audit report, number, estimate",10,"part, audit, estimate, include, report, shall, use, total, recycled, number"
99,"F:The audit report shall include the number of available recycled parts from the original search results.
",F,The audit report shall include the number of available recycled parts from the original search results.,3,"audit report, number, search",11,"part, original, search, result, audit, include, report, shall, available, recycled, number"
